"Date","Tenant Name","Net Sales"
"2022-02-01","Beachside Shave Ice","265.87"
"2022-02-02","Beachside Shave Ice","283.27"
"2022-02-03","Beachside Shave Ice","283.27"
"2022-02-04","Beachside Shave Ice","266.5"
"2022-02-05","Beachside Shave Ice","386"
"2022-02-07","Beachside Shave Ice","246.5"
"2022-02-08","Beachside Shave Ice","236.86"
"2022-02-09","Beachside Shave Ice",NULL
"2022-02-10","Beachside Shave Ice","321"
"2022-02-11","Beachside Shave Ice","208.21"
"2022-02-12","Beachside Shave Ice","300.5"
"2022-02-14","Beachside Shave Ice","363.42"
"2022-02-15","Beachside Shave Ice","300.5"
"2022-02-16","Beachside Shave Ice",NULL
"2022-02-17","Beachside Shave Ice","321.5"
"2022-02-18","Beachside Shave Ice","316.5"
"2022-02-19","Beachside Shave Ice","406.5"
"2022-02-21","Beachside Shave Ice","323.16"
"2022-02-22","Beachside Shave Ice","418.5"
"2022-02-23","Beachside Shave Ice",NULL
"2022-02-24","Beachside Shave Ice","504.5"
"2022-02-25","Beachside Shave Ice","388"
"2022-02-26","Beachside Shave Ice","361.5"
"2022-02-27","Beachside Shave Ice",NULL
"2022-02-28","Beachside Shave Ice","449.5"
"2022-03-01","Beachside Shave Ice","194"
"2022-03-02","Beachside Shave Ice",NULL
"2022-03-03","Beachside Shave Ice","290"
"2022-03-04","Beachside Shave Ice","380"
"2022-03-05","Beachside Shave Ice","472"
"2022-03-06","Beachside Shave Ice",NULL
"2022-03-07","Beachside Shave Ice","616"
"2022-03-08","Beachside Shave Ice","342.5"
"2022-03-09","Beachside Shave Ice",NULL
"2022-03-10","Beachside Shave Ice","377"
"2022-03-11","Beachside Shave Ice","425.5"
"2022-03-12","Beachside Shave Ice","526.5"
"2022-03-13","Beachside Shave Ice",NULL
"2022-03-14","Beachside Shave Ice","1101.49"
"2022-03-15","Beachside Shave Ice","403.5"
"2022-03-16","Beachside Shave Ice",NULL
"2022-03-17","Beachside Shave Ice","735"
"2022-03-18","Beachside Shave Ice","760"
"2022-03-19","Beachside Shave Ice","820.5"
"2022-03-20","Beachside Shave Ice",NULL
"2022-03-21","Beachside Shave Ice","637.5"
